sample_id,variant_id,clean_text,noisy_text,error_types
0,0,'Trâu điên' tấn công người ở Quảng Trị: Có cần thiết phải giết mấy con trâu?.,'Trâu điên' tấn cog người ở Quảng Trị: Có cần thiết phải giết mấy con trâu?.,abbreviation
0,1,'Trâu điên' tấn công người ở Quảng Trị: Có cần thiết phải giết mấy con trâu?.,'Trâ uđiên' tấn công người ở Quảng Trị: Có cần thiết phải giết mấy coin trâu?.,edit_distance
0,2,'Trâu điên' tấn công người ở Quảng Trị: Có cần thiết phải giết mấy con trâu?.,'Trau dien' tan cog nguoi o Quang Tri: Co can thiet phai giet may con trau?.,abbreviation+no_diacritic
1,0,Đưa Manulife trở thành công ty bảo hiểm được tin cậy nhất.,Dưw Manulige trở thành công ty hảo hiểj được tkn cậy bhấh.,fat_finger
1,1,Đưa Manulife trở thành công ty bảo hiểm được tin cậy nhất.,Dư4 M4nulif3 trở th4`nh cong ty b4?o hi3?m dược tin cậy nhất.,teencode
1,2,Đưa Manulife trở thành công ty bảo hiểm được tin cậy nhất.,Dua Manulife tro thanh cog ty bao hiem dc tin cay nhat.,abbreviation+no_diacritic
2,0,Đức: Giải cứu cậu bé trong két sắt vì chơi trò trốn tìm.,Duc: Giai cuu cau be trong ket sat vi choi tro tron tim.,no_diacritic
2,1,Đức: Giải cứu cậu bé trong két sắt vì chơi trò trốn tìm.,Đức: Giải cứu cậu bé trong két sắt vì trơi trò trốn tìm.,region
2,2,Đức: Giải cứu cậu bé trong két sắt vì chơi trò trốn tìm.,Duc: G cuu cau be trong ket sat vi choi tro tron tim.,abbreviation+no_diacritic
3,0,Sau này cắt lễ đã giảm nhiều.,Sau nay căt lê đa giam nhiêu.,telex
3,1,Sau này cắt lễ đã giảm nhiều.,Sau nay cat le da giam nhieu.,no_diacritic
3,2,Sau này cắt lễ đã giảm nhiều.,Zaj nàh vắt lễ đã guảm bhuều.,fat_finger
3,3,Sau này cắt lễ đã giảm nhiều.,Sau nay cat le da gm nhieu.,abbreviation+no_diacritic
4,0,XSMN 18/7.,XSML 18/7.,region
4,1,XSMN 18/7.,XSM N1/87.,edit_distance
4,2,XSMN 18/7.,XSM 18/7.,abbreviation+no_diacritic
